item_id,email,name,description,condition,type
45,usr005@gt.edu,Astebreed,"Edelweiss   Playism","Heavily Used","Computer Game"
46,usr005@gt.edu,"G.I. Joe Trading Card Game ","Wizards of the Coast   ","Moderately Used","Card Game"
47,usr005@gt.edu,"Burnout Paradise: The Ultimate Box","Criterion Games   Electronic Arts","Like New","Computer Game"
48,usr005@gt.edu,"Suzanne Stofflet (riddles)",20/50,"Heavily Used","Jigsaw Puzzle"
49,usr005@gt.edu,"Final Fantasy Trading Card Game ",NULL,"Lightly Used","Card Game"
50,usr005@gt.edu,"Mortal Kombat Mythologies: Sub-Zero","Midway Games   ",Mint,"Video Game"
51,usr005@gt.edu,"Madden NFL 07","Sports   EA Tiburon","Moderately Used","Video Game"
52,usr006@gt.edu,Blitzkrieg,"Nival Interactive   CDV, 1C Company, Virtual Programming","Damaged/Missing parts","Computer Game"
53,usr006@gt.edu,"Echelons of Fire","Medallion Simulations   ",Mint,"Card Game"
54,usr006@gt.edu,"Call of Cthulhu: Collectible Card Game","Fantasy Flight Games   ","Like New","Card Game"
55,usr006@gt.edu,"Wing Commander Collectible Trading Card Game	","Mag Force 7   ","Like New","Card Game"
56,usr006@gt.edu,"Planetarian: The Reverie of a Little Planet","Key   VisualArt's, KineticNovel","Like New","Computer Game"
57,usr006@gt.edu,"Adventure Pinball: Forgotten Island","Digital Extremes   Electronic Arts","Heavily Used","Computer Game"
58,usr006@gt.edu,"Persona 4 Golden","Atlus   Sega",Mint,"Computer Game"
59,usr006@gt.edu,"Battleground 4: Shiloh",NULL,"Heavily Used","Computer Game"
60,usr006@gt.edu,"Kane & Lynch 2: Dog Days","IO Interactive   ","Heavily Used","Video Game"
61,usr006@gt.edu,"Just Dance 2017","Ubisoft Paris   ","Heavily Used","Video Game"
62,usr007@gt.edu,"Battleground 4: Shiloh",TalonSoft,"Heavily Used","Computer Game"
63,usr007@gt.edu,"Disney Pixar: Toy Story: Playing Around ","Giant Floor Puzzle by Ravensburger","Lightly Used","Jigsaw Puzzle"
64,usr007@gt.edu,"Postal 2","Running with Scissors","Heavily Used","Computer Game"
65,usr007@gt.edu,"Pixel Piracy",NULL,"Lightly Used","Computer Game"
66,usr007@gt.edu,"Michael Phelps: Push The Limit","   Blitz Games Studios","Heavily Used","Video Game"
67,usr007@gt.edu,Sengoku,NULL,"Like New","Computer Game"
68,usr008@gt.edu,"Land Ahoy! ","Floor Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
69,usr008@gt.edu,Ancients,NULL,"Like New","Board Game"
70,usr008@gt.edu,Brawlhalla,"Blue Mammoth Games   Ubisoft","Heavily Used","Computer Game"
71,usr008@gt.edu,"Assassin's Creed IV: Black Flag",NULL,"Moderately Used","Computer Game"
72,usr008@gt.edu,"Karaoke Revolution Presents: American Idol Encore","Blitz Games   ","Moderately Used","Video Game"
73,usr008@gt.edu,"Brothers in Arms: Road to Hill 30","Gearbox Software   Ubisoft","Moderately Used","Computer Game"
74,usr008@gt.edu,"Persona 4 Golden","Atlus   Sega",Mint,"Computer Game"
75,usr008@gt.edu,"NHL 99","MBL Research   ","Damaged/Missing parts","Video Game"
76,usr008@gt.edu,"NASCAR 2000","EA Sports   ","Like New","Video Game"
77,usr009@gt.edu,"Just Dance Kids","Land Ho!   ","Like New","Video Game"
78,usr009@gt.edu,"Guardians	",NULL,"Heavily Used","Card Game"
79,usr009@gt.edu,"Pachinko 365 Nichi","SETA Corporation   SETA Corporation","Damaged/Missing parts","Video Game"
80,usr009@gt.edu,"SimCity Societies",NULL,"Heavily Used","Computer Game"
81,usr009@gt.edu,"HumanKind ","SALO   ","Lightly Used","Card Game"
82,usr009@gt.edu,Abz,"Giant Squid Studios   505 Games","Lightly Used","Computer Game"
83,usr010@gt.edu,Troy,"Chaosium  1977","Damaged/Missing parts","Board Game"
84,usr010@gt.edu,"A Bird Story","Freebird Games","Like New","Computer Game"
85,usr010@gt.edu,"Oh My Goddess!","based on the Japanese manga series written and illustrated by Kosuke Fujishima   ","Like New","Card Game"
86,usr010@gt.edu,"Eiffel Tower","3D Jigsaw Puzzle By Ravensburger","Lightly Used","Jigsaw Puzzle"
87,usr010@gt.edu,"Wreck It Ralph 2 ",NULL,"Moderately Used","Jigsaw Puzzle"
88,usr010@gt.edu,"WARS Trading Card Game	","Decipher Inc.   ","Like New","Card Game"
89,usr010@gt.edu,"Dragon Ball Super Card Game ","Bandai   ","Lightly Used","Card Game"
90,usr010@gt.edu,"Candy Thun (art)",NULL,"Moderately Used","Jigsaw Puzzle"
91,usr010@gt.edu,"Madden NFL 06",NULL,"Lightly Used","Video Game"
92,usr010@gt.edu,"Black Skylands","Hungry Couch Games   tinyBuild","Like New","Computer Game"
93,usr011@gt.edu,Kabal,"MultiSim   ","Damaged/Missing parts","Card Game"
94,usr011@gt.edu,Stronghold,NULL,"Like New","Computer Game"
95,usr011@gt.edu,"Meteos Wars","Puzzle & Trivia   Q Entertainment",Mint,"Video Game"
96,usr011@gt.edu,"Exodus The Trading Card Game ","Existence Games   ","Like New","Card Game"
97,usr011@gt.edu,"The Elder Scrolls II: Daggerfall",NULL,"Lightly Used","Computer Game"
98,usr011@gt.edu,"Mia Hamm Soccer 64","Silicon Dreams Studio   ","Heavily Used","Video Game"
99,usr011@gt.edu,"Kamen Rider Battride War 2","Bandai Namco Games   June 24, 2014","Damaged/Missing parts","Video Game"
100,usr011@gt.edu,"Police at Work! ","Jigsaw Puzzle By Ravensburger NEW","Like New","Jigsaw Puzzle"
101,usr011@gt.edu,"The Eye of Judgment ","SCE Japan   ","Heavily Used","Card Game"
102,usr012@gt.edu,"A Day in the Woods","RetroEpic Software","Heavily Used","Computer Game"
103,usr012@gt.edu,Poptropica,NULL,Mint,"Computer Game"
104,usr012@gt.edu,"The Elder Scrolls Adventures: Redguard",NULL,"Lightly Used","Computer Game"
105,usr012@gt.edu,"Action Quake 2","The A-Team","Lightly Used","Computer Game"
106,usr012@gt.edu,"Hot Wheels Acceleracers Collectible Card Game ","Mattel   ","Like New","Card Game"
107,usr012@gt.edu,"Commands & Colors: Ancients","GMT Games  2006","Heavily Used","Board Game"
108,usr012@gt.edu,"Just Dance 2015","Ubisoft Paris   ","Lightly Used","Video Game"
109,usr013@gt.edu,Chariot,NULL,"Like New","Board Game"
110,usr013@gt.edu,"Madden NFL 16","Sports   EA Tiburon","Like New","Video Game"
111,usr013@gt.edu,"Madden NFL 15","Sports   EA Tiburon","Like New","Video Game"
112,usr013@gt.edu,"World in Conflict: Soviet Assault","Massive Entertainment   Sierra Entertainment (former), Ubisoft","Like New","Computer Game"
113,usr013@gt.edu,"Path of Exile","Grinding Gear Games",Mint,"Computer Game"
114,usr013@gt.edu,"Suzanne Stofflet (riddles)",27/50,"Like New","Jigsaw Puzzle"
115,usr013@gt.edu,"Minecraft: Story Mode","Graphic adventure & interactive movie   Telltale Games","Moderately Used","Video Game"
116,usr014@gt.edu,"Kaihou Shoujo SIN","Sega   December 5, 2013","Damaged/Missing parts","Video Game"
117,usr014@gt.edu,"Battlefield 2","Digital Illusions CE   EA Games","Damaged/Missing parts","Computer Game"
118,usr014@gt.edu,"Age of Empires","Ensemble Studios   Microsoft Game Studios","Damaged/Missing parts","Computer Game"
119,usr015@gt.edu,"Saints Row: The Third","Volition   THQ","Heavily Used","Computer Game"
120,usr015@gt.edu,Tyre,"Simulations Publications, Inc.  1978",Mint,"Board Game"
121,usr015@gt.edu,"Moon Landing ","Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
122,usr015@gt.edu,Juju,"Flying Wild Hog   Unreleased","Heavily Used","Video Game"
123,usr015@gt.edu,"Thomas and Friends: Thomas & Ashima ","Floor Puzzle By Ravensburger","Heavily Used","Jigsaw Puzzle"
124,usr015@gt.edu,Kadesh,NULL,"Heavily Used","Board Game"
125,usr016@gt.edu,"Action Quake 2","The A-Team",Mint,"Computer Game"
126,usr016@gt.edu,"Kamen Rider Battride War Sousei","Bandai Namco Games   February 25, 2016","Moderately Used","Video Game"
127,usr016@gt.edu,"Mars: War Logs","Role Playing   Spiders","Damaged/Missing parts","Video Game"
128,usr016@gt.edu,"Major League Baseball 2K7","Sports   Kush Games",Mint,"Video Game"
129,usr016@gt.edu,"Magic: The Gathering 2012","Card & Board   Stainless Games",Mint,"Video Game"
130,usr016@gt.edu,"Battlefield 2","Digital Illusions CE   EA Games","Heavily Used","Computer Game"
131,usr016@gt.edu,"World in Conflict","Massive Entertainment   Sierra Entertainment (former), Ubisoft","Moderately Used","Computer Game"
132,usr016@gt.edu,"Hannibal at Bay","Avalanche Press  2000","Like New","Board Game"
133,usr016@gt.edu,"Actua Ice Hockey",NULL,Mint,"Computer Game"
134,usr016@gt.edu,"Marvel Puzzle Quest: Dark Reign","Puzzle & Trivia   WayForward Technologies","Damaged/Missing parts","Video Game"
135,usr016@gt.edu,"Jewish War",NULL,"Lightly Used","Board Game"
136,usr016@gt.edu,"NASCAR '99","EA Sports   ","Heavily Used","Video Game"
137,usr017@gt.edu,Spore,"Maxis   Electronic Arts","Damaged/Missing parts","Computer Game"
138,usr017@gt.edu,"Brothers in Arms: Hell's Highway",NULL,"Like New","Computer Game"
139,usr017@gt.edu,"Just Dance 2016","Ubisoft Paris   ",Mint,"Video Game"
140,usr017@gt.edu,"Explore Space","Jigsaw Puzzle By Ravensburger NEW",Mint,"Jigsaw Puzzle"
141,usr017@gt.edu,"Kiba Trading Card Game ","Upper Deck   ","Moderately Used","Card Game"
142,usr017@gt.edu,"Middle-earth: Shadow of Mordor","Action role-playing game   Monolith Productions","Moderately Used","Video Game"
143,usr017@gt.edu,Chandragupta,"GMT Games  2008","Lightly Used","Board Game"
144,usr017@gt.edu,"World of Warplanes",Wargaming,Mint,"Computer Game"
145,usr017@gt.edu,"Hero Attax ",NULL,"Like New","Card Game"
146,usr018@gt.edu,"Mass Effect 2",NULL,"Moderately Used","Video Game"
147,usr018@gt.edu,"Vibrance Under the Sea ","Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
148,usr018@gt.edu,Blitzkrieg,"Nival Interactive   CDV, 1C Company, Virtual Programming","Like New","Computer Game"
149,usr018@gt.edu,"Masquerade: The Baubles of Doom","Action & Adventure   Big Ant Studios",Mint,"Video Game"
150,usr019@gt.edu,"Gasaraki Mission Director ",NULL,"Like New","Card Game"
151,usr019@gt.edu,"Pony Island","Daniel Mullins Games","Heavily Used","Computer Game"
152,usr019@gt.edu,"Assassin's Creed Rogue","Ubisoft Montreal   Ubisoft","Like New","Computer Game"
153,usr019@gt.edu,"Choro Q 64JP","Locomotive Corporation   TakaraJP","Heavily Used","Video Game"
154,usr019@gt.edu,"Young Jedi Collectible Card Game","Decipher Inc.   ","Damaged/Missing parts","Card Game"
155,usr019@gt.edu,"Monster Hunter Frontier G7","Action role-playing, Expansion   Capcom","Heavily Used","Video Game"
156,usr019@gt.edu,"Teenage Mutant Ninja Turtles Trading Card Game ","Upper Deck   ","Moderately Used","Card Game"
157,usr019@gt.edu,"X-Men ",NULL,"Heavily Used","Card Game"
158,usr019@gt.edu,"Battles in Time",NULL,"Like New","Computer Game"
159,usr019@gt.edu,"Pet Fair Fun ","Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
160,usr019@gt.edu,"Preparing to Fly ","Floor Jigsaw Puzzle By Ravensburger","Damaged/Missing parts","Jigsaw Puzzle"
161,usr019@gt.edu,"HumanKind ","SALO   ",Mint,"Card Game"
162,usr020@gt.edu,"Transformers ","Wizards of the Coast   ","Heavily Used","Card Game"
163,usr020@gt.edu,"World of Warplanes",Wargaming,"Damaged/Missing parts","Computer Game"
164,usr020@gt.edu,"A Duel Hand Disaster: Trackher","Ask An Enemy Studios",Mint,"Computer Game"
165,usr020@gt.edu,"Gundam War: Mobile Suit Gundam the Card Game ","Bandai   ","Moderately Used","Card Game"
166,usr020@gt.edu,"A Hat in Time","Gears for Breakfast","Damaged/Missing parts","Computer Game"
167,usr020@gt.edu,"Silent Hunter III","Ubisoft Bucharest   Ubisoft","Heavily Used","Computer Game"
168,usr020@gt.edu,"Molly Delany (art)",NULL,"Like New","Jigsaw Puzzle"
169,usr021@gt.edu,"SimCity 2000","Maxis   Electronic Arts","Damaged/Missing parts","Computer Game"
170,usr021@gt.edu,"Major League Baseball 2K10","Sports   Visual Concepts",Mint,"Video Game"
171,usr021@gt.edu,"John Carpenter's Psychopath","Titan Productions   ","Heavily Used","Video Game"
172,usr021@gt.edu,"John Woo Presents: Stranglehold","Midway Chicago   ","Lightly Used","Video Game"
173,usr022@gt.edu,"Assassin's Creed II","Ubisoft Montreal   Ubisoft","Like New","Computer Game"
174,usr022@gt.edu,"A.D.A.M. The Inside Story","Columbia Healthcare Corporation","Moderately Used","Computer Game"
175,usr022@gt.edu,"uDraw Marvel Super Hero Squad: Comic Combat","Fighting   Griptonite Games","Like New","Video Game"
176,usr022@gt.edu,"Force of Will ","Force of Will Ltd.   ","Damaged/Missing parts","Card Game"
177,usr022@gt.edu,"A Chair in a Room: Greenwater","Wolf & Wood Interactive Ltd","Damaged/Missing parts","Computer Game"
178,usr022@gt.edu,"JoJo's Bizarre Adventure: All Star Battle","CyberConnect2   October 29, 2013","Lightly Used","Video Game"
179,usr022@gt.edu,"Beasts and Bumpkins","Worldweaver Ltd   Electronic Arts","Moderately Used","Computer Game"
180,usr022@gt.edu,"Jetpack Joyride","Halfbrick Studios   Unreleased","Damaged/Missing parts","Video Game"
181,usr022@gt.edu,"SWAT 4","Irrational Games   Vivendi Universal Games, Sierra Entertainment",Mint,"Computer Game"
182,usr022@gt.edu,"Age of Empires","Ensemble Studios   Microsoft Game Studios","Lightly Used","Computer Game"
183,usr022@gt.edu,"Jeu des petits chevaux","France  Single six-sided die","Heavily Used","Board Game"
184,usr022@gt.edu,"Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu","Sega   May 31, 2012","Lightly Used","Video Game"
185,usr023@gt.edu,"Young Jedi Collectible Card Game",NULL,"Like New","Card Game"
186,usr023@gt.edu,"Conquest of the Empire","Citadel Games  1981?","Damaged/Missing parts","Board Game"
187,usr023@gt.edu,"Star Citizen","Cloud Imperium Games Corporation","Heavily Used","Computer Game"
188,usr023@gt.edu,"Ace Lightning","Absolute Studios   Gamezlab","Damaged/Missing parts","Computer Game"
189,usr023@gt.edu,"Age of Wonders: Shadow Magic","Triumph Studios   Gathering of Developers","Damaged/Missing parts","Computer Game"
190,usr023@gt.edu,"Peter Pan & the Irate Pirate","Molly Delaney (art)","Lightly Used","Jigsaw Puzzle"
191,usr023@gt.edu,"Wargame: Red Dragon","Eugen Systems   Focus Home Interactive","Like New","Computer Game"
192,usr023@gt.edu,"Madden NFL 10",NULL,"Heavily Used","Video Game"
193,usr023@gt.edu,"The Dragon's Wrath ","Naipes Heraclio Fournier   ","Lightly Used","Card Game"
194,usr024@gt.edu,"Prince of Persia: Warrior Within","Ubisoft Montreal, Pipeworks Software, Gameloft   Ubisoft, Gameloft","Heavily Used","Computer Game"
195,usr024@gt.edu,"Age of Empires II: The African Kingdoms","Ensemble Studios   Microsoft Game Studios","Moderately Used","Computer Game"
196,usr024@gt.edu,Banished,"Shining Rock Software","Moderately Used","Computer Game"
197,usr025@gt.edu,"Doctor Who: The Collectible Trading Card Game","M.M.G. Ltd.   ",Mint,"Card Game"
198,usr025@gt.edu,"Unlimited VS ","SK Japan   ","Like New","Card Game"
199,usr025@gt.edu,Uckers,"England  Two six-sided dice","Like New","Board Game"
200,usr025@gt.edu,Portal,"Valve   Valve, Microsoft Game Studios","Damaged/Missing parts","Computer Game"
201,usr025@gt.edu,"Teen Titans Collectible Card Game ","Bandai   ","Damaged/Missing parts","Card Game"
202,usr025@gt.edu,"World of Warcraft: Legion","Blizzard Entertainment","Damaged/Missing parts","Computer Game"
203,usr025@gt.edu,"MLB Bobblehead Battle","Sports & Recreation   Konami","Damaged/Missing parts","Video Game"
204,usr025@gt.edu,Patolli,"Mesoamerica  Five or six thrown marked black beans","Moderately Used","Board Game"
205,usr025@gt.edu,"Star Wars Galaxies","Sony Online Entertainment   Electronic Arts, LucasArts","Like New","Computer Game"
206,usr025@gt.edu,"Silent Hunter 5: Battle of the Atlantic","Ubisoft Bucharest   Ubisoft","Damaged/Missing parts","Computer Game"
207,usr025@gt.edu,"Postal III","Running with Scissors   Akella","Moderately Used","Computer Game"
208,usr026@gt.edu,"Age of Empires II: The Age of Kings","Ensemble Studios   Microsoft Game Studios, Konami","Heavily Used","Computer Game"
209,usr026@gt.edu,"John Carpenter's Psychopath","Titan Productions   ",Mint,"Video Game"
210,usr026@gt.edu,"S.T.A.L.K.E.R.: Call of Pripyat","GSC Game World   Viva Media","Like New","Computer Game"
211,usr026@gt.edu,"GT InteractivePAL","Action/First-Person Shooter   1998-03-24NA","Moderately Used","Video Game"
212,usr027@gt.edu,"Monster Hunter Frontier G5","Action role-playing, Expansion   Capcom","Heavily Used","Video Game"
213,usr027@gt.edu,"Assassin's Creed II","Ubisoft Montreal   Ubisoft","Heavily Used","Computer Game"
214,usr027@gt.edu,"Abomination: The Nemesis Project","Hothouse Creations   Eidos Interactive","Like New","Computer Game"
215,usr027@gt.edu,"Splashing Mermaids ",NULL,"Heavily Used","Jigsaw Puzzle"
216,usr027@gt.edu,"Pax Softnica","Nintendo   Action/3D Rail Shooter","Like New","Video Game"
217,usr027@gt.edu,"Portal 2",Valve,"Like New","Computer Game"
218,usr027@gt.edu,"X610Z existenz ","Quantuum Magic   ","Moderately Used","Card Game"
219,usr027@gt.edu,"Pilotwings 64","Nintendo EAD   ","Heavily Used","Video Game"
220,usr028@gt.edu,"Killing Floor 2","Tripwire Interactive","Heavily Used","Computer Game"
221,usr028@gt.edu,"Micro Machines 64 Turbo","Codemasters   Midway Home EntertainmentNA","Damaged/Missing parts","Video Game"
222,usr028@gt.edu,"Amnesia: A Machine for Pigs",NULL,"Damaged/Missing parts","Computer Game"
223,usr028@gt.edu,"Beasts and Bumpkins","Worldweaver Ltd   Electronic Arts","Damaged/Missing parts","Computer Game"
224,usr028@gt.edu,"AD&D Masterpiece Collection","Strategic Simulations","Damaged/Missing parts","Computer Game"
225,usr028@gt.edu,Coppit,NULL,"Lightly Used","Board Game"
226,usr028@gt.edu,"Pokemon Planet",Brody,Mint,"Computer Game"
227,usr028@gt.edu,"Meet the Robinsons","Action-adventure, Platformer   Avalanche Software","Like New","Video Game"
228,usr028@gt.edu,"Empire Earth III","Mad Doc Software   Sierra Entertainment","Moderately Used","Computer Game"
229,usr028@gt.edu,Hannibal,"Histo Games  1969","Like New","Board Game"
230,usr028@gt.edu,"NHL Breakaway 99","Iguana West   Acclaim Sports","Heavily Used","Video Game"
231,usr028@gt.edu,"Magic: The Gathering 2013","Card & Board   Stainless Games",Mint,"Video Game"
232,usr029@gt.edu,"Off with Her Head","Jennifer Brown (art)","Damaged/Missing parts","Jigsaw Puzzle"
233,usr029@gt.edu,Doomtrooper,"Target Games   ","Damaged/Missing parts","Card Game"
234,usr029@gt.edu,"Anno 1602","Max Design   Sunflowers",Mint,"Computer Game"
235,usr029@gt.edu,"Empire: Total War","The Creative Assembly, Feral Interactive   Sega, Feral Interactive","Like New","Computer Game"
236,usr029@gt.edu,"Cardcaptors Trading Card Game",NULL,"Moderately Used","Card Game"
237,usr029@gt.edu,"Beast Clans","Beast Clans LLC   ","Lightly Used","Card Game"
238,usr029@gt.edu,"Prison Architect","Introversion Software",Mint,"Computer Game"
239,usr029@gt.edu,"Madden NFL 12","Sports   EA Tiburon","Like New","Video Game"
240,usr029@gt.edu,"Call of Cthulhu: Collectible Card Game","Fantasy Flight Games   ",Mint,"Card Game"
241,usr030@gt.edu,"Blade Symphony","Puny Human   Puny Human Games","Damaged/Missing parts","Computer Game"
242,usr030@gt.edu,"PGA European TourNA","Infogrames Sheffield House   Infogrames","Heavily Used","Video Game"
243,usr030@gt.edu,"Joysound Dive (app)",NULL,"Like New","Video Game"
244,usr030@gt.edu,"MLB Bobblehead Battle",NULL,"Lightly Used","Video Game"
245,usr030@gt.edu,"Amnesia: A Machine for Pigs","The Chinese Room   Frictional Games","Like New","Computer Game"
246,usr030@gt.edu,"Mars: War Logs","Role Playing   Spiders","Lightly Used","Video Game"
247,usr030@gt.edu,"Megamind: Ultimate Showdown","Action   THQ","Damaged/Missing parts","Video Game"
248,usr030@gt.edu,Starsector,NULL,"Like New","Computer Game"
249,usr030@gt.edu,"Adrift (video game)","Three One Zero   505 Games","Moderately Used","Computer Game"
250,usr031@gt.edu,"Act of Aggression","Eugen Systems   Focus Home Interactive","Moderately Used","Computer Game"
251,usr031@gt.edu,"Age of Empires II: HD Edition","Hidden Path Entertainment, Ensemble Studios   Microsoft Game Studios","Moderately Used","Computer Game"
252,usr031@gt.edu,"Middle-earth: Shadow of Mordor","Action role-playing game   Monolith Productions",Mint,"Video Game"
253,usr032@gt.edu,"Jeremy McGrath's Offroad","2XL Games   Unreleased","Lightly Used","Video Game"
254,usr032@gt.edu,"Thorgal Kolekcjonerska Gra Karciana","Egmont Polksa   ","Like New","Card Game"
255,usr032@gt.edu,"Beyond Good & Evil","Ubisoft Pictures, Ubisoft Milan   Ubisoft","Lightly Used","Computer Game"
256,usr033@gt.edu,"Jikkyou Powerful Pro Yakyuu 2016","Konami   April 28, 2016",Mint,"Video Game"
257,usr033@gt.edu,"Batman: Arkham Asylum","Rocksteady Studios   Warner Bros. Interactive Entertainment","Lightly Used","Computer Game"
258,usr033@gt.edu,"Battleground 3: Waterloo",TalonSoft,"Moderately Used","Computer Game"
259,usr033@gt.edu,Ancients,"Good Industries  1990","Lightly Used","Board Game"
260,usr034@gt.edu,"NBA Showtime: NBA on NBC","Midway Games   ","Lightly Used","Video Game"
261,usr034@gt.edu,"Harry Potter Trading Card Game",NULL,"Heavily Used","Card Game"
262,usr034@gt.edu,"Age of Empires II: HD Edition","Hidden Path Entertainment, Ensemble Studios   Microsoft Game Studios",Mint,"Computer Game"
263,usr034@gt.edu,"Transformers ","Wizards of the Coast   ","Heavily Used","Card Game"
264,usr034@gt.edu,"RockMan Dash: Hagane no BoukenshinJP","Capcom Production Studio 2   Capcom","Damaged/Missing parts","Video Game"
265,usr034@gt.edu,Starbound,Chucklefish,"Heavily Used","Computer Game"
266,usr034@gt.edu,"Frosty Adventures ","Jigsaw Puzzle By Ravensburger NEW","Like New","Jigsaw Puzzle"
267,usr034@gt.edu,"Perfect Dark","Rare   Rare","Moderately Used","Video Game"
268,usr034@gt.edu,Cranium,"United States  Single six-sided die rolled after completion of an activity","Damaged/Missing parts","Board Game"
269,usr034@gt.edu,MicroBot,"Shooter   Naked Sky Entertainment","Like New","Video Game"
270,usr034@gt.edu,"Metro 2033","Survival Horror, First-person Shooter   4A Games","Lightly Used","Video Game"
271,usr034@gt.edu,"Ms. Pac-Man Maze Madness","Mass Media Games   Namco",Mint,"Video Game"
272,usr035@gt.edu,"Codename: Kids Next Door Trading Card Game ",NULL,Mint,"Card Game"
273,usr035@gt.edu,"Don: Continuing Criminal Enterprise ","MythIntentions LLC   ","Damaged/Missing parts","Card Game"
274,usr035@gt.edu,"Banemaster: The Adventure",NULL,"Damaged/Missing parts","Card Game"
275,usr035@gt.edu,"Vrooom! ","Ikon Games   ","Moderately Used","Card Game"
