swap_id,counterparty_email,proposer_rating
411,usr087@gt.edu,3
415,usr246@gt.edu,2
418,usr721@gt.edu,1
420,usr152@gt.edu,3
422,usr436@gt.edu,1
427,usr457@gt.edu,1
428,usr720@gt.edu,2
429,usr913@gt.edu,3
431,usr810@gt.edu,1
432,usr690@gt.edu,5
433,usr128@gt.edu,4
438,usr005@gt.edu,1
442,usr379@gt.edu,1
444,usr693@gt.edu,1
446,usr096@gt.edu,1
452,usr742@gt.edu,2
453,usr842@gt.edu,4
454,usr548@gt.edu,3
459,usr226@gt.edu,3
467,usr960@gt.edu,5
469,usr408@gt.edu,1
470,usr378@gt.edu,1
472,usr165@gt.edu,4
473,usr143@gt.edu,3
474,usr703@gt.edu,1
475,usr158@gt.edu,4
477,usr511@gt.edu,3
478,usr856@gt.edu,4
480,usr656@gt.edu,5
482,usr180@gt.edu,3
483,usr292@gt.edu,2
486,usr677@gt.edu,2
488,usr934@gt.edu,5
490,usr715@gt.edu,2
496,usr856@gt.edu,2
497,usr939@gt.edu,2
500,usr903@gt.edu,4
503,usr014@gt.edu,4
504,usr671@gt.edu,2
505,usr022@gt.edu,4
506,usr169@gt.edu,5
510,usr801@gt.edu,2
511,usr301@gt.edu,2
520,usr298@gt.edu,1
523,usr054@gt.edu,3
524,usr878@gt.edu,3
526,usr348@gt.edu,5
535,usr012@gt.edu,5
538,usr680@gt.edu,1
539,usr284@gt.edu,3
540,usr809@gt.edu,5
542,usr882@gt.edu,1
544,usr886@gt.edu,1
545,usr901@gt.edu,2
547,usr515@gt.edu,4
548,usr479@gt.edu,1
551,usr644@gt.edu,4
552,usr901@gt.edu,2
554,usr829@gt.edu,2
555,usr790@gt.edu,3
556,usr547@gt.edu,1
562,usr875@gt.edu,1
570,usr164@gt.edu,1
576,usr677@gt.edu,3
577,usr335@gt.edu,4
579,usr998@gt.edu,1
584,usr460@gt.edu,4
585,usr280@gt.edu,3
586,usr366@gt.edu,5
594,usr393@gt.edu,3
598,usr331@gt.edu,4
601,usr964@gt.edu,5
602,usr791@gt.edu,3
605,usr086@gt.edu,3
607,usr190@gt.edu,4
609,usr976@gt.edu,2
617,usr886@gt.edu,4
620,usr047@gt.edu,1
621,usr942@gt.edu,4
623,usr883@gt.edu,1
626,usr766@gt.edu,5
628,usr792@gt.edu,3
629,usr379@gt.edu,4
633,usr277@gt.edu,3
637,usr925@gt.edu,5
641,usr409@gt.edu,5
644,usr261@gt.edu,2
646,usr362@gt.edu,3
650,usr885@gt.edu,1
652,usr231@gt.edu,4
658,usr648@gt.edu,5
663,usr416@gt.edu,2
667,usr447@gt.edu,1
671,usr186@gt.edu,2
675,usr528@gt.edu,2
676,usr410@gt.edu,4
677,usr255@gt.edu,5
678,usr651@gt.edu,2
680,usr486@gt.edu,1
683,usr111@gt.edu,5
684,usr670@gt.edu,2
686,usr009@gt.edu,3
688,usr386@gt.edu,2
689,usr365@gt.edu,4
691,usr945@gt.edu,2
698,usr627@gt.edu,4
699,usr444@gt.edu,3
702,usr321@gt.edu,5
708,usr864@gt.edu,1
712,usr775@gt.edu,4
717,usr470@gt.edu,5
718,usr561@gt.edu,2
720,usr965@gt.edu,5
721,usr005@gt.edu,4
722,usr418@gt.edu,5
724,usr005@gt.edu,1
725,usr546@gt.edu,4
729,usr849@gt.edu,1
737,usr321@gt.edu,5
738,usr991@gt.edu,1
739,usr421@gt.edu,4
743,usr906@gt.edu,4
744,usr713@gt.edu,1
745,usr174@gt.edu,2
747,usr422@gt.edu,5
748,usr884@gt.edu,1
755,usr142@gt.edu,5
756,usr126@gt.edu,3
757,usr257@gt.edu,2
760,usr557@gt.edu,2
763,usr351@gt.edu,3
764,usr305@gt.edu,5
767,usr372@gt.edu,3
768,usr203@gt.edu,2
772,usr463@gt.edu,4
773,usr095@gt.edu,5
774,usr364@gt.edu,5
775,usr988@gt.edu,2
776,usr050@gt.edu,3
780,usr382@gt.edu,4
781,usr100@gt.edu,1
782,usr523@gt.edu,4
783,usr638@gt.edu,2
786,usr971@gt.edu,2
787,usr077@gt.edu,4
788,usr462@gt.edu,4
793,usr266@gt.edu,2
794,usr276@gt.edu,3
795,usr762@gt.edu,5
796,usr213@gt.edu,5
797,usr633@gt.edu,4
801,usr766@gt.edu,2
810,usr861@gt.edu,1
814,usr889@gt.edu,5
815,usr360@gt.edu,5
817,usr152@gt.edu,3
818,usr473@gt.edu,2
823,usr611@gt.edu,4
827,usr346@gt.edu,5
828,usr644@gt.edu,5
829,usr304@gt.edu,5
830,usr465@gt.edu,2
832,usr370@gt.edu,2
836,usr197@gt.edu,1
837,usr589@gt.edu,3
838,usr097@gt.edu,4
839,usr831@gt.edu,4
840,usr518@gt.edu,4
843,usr089@gt.edu,4
848,usr281@gt.edu,2
854,usr560@gt.edu,1
857,usr861@gt.edu,3
859,usr939@gt.edu,5
862,usr940@gt.edu,3
863,usr703@gt.edu,2
872,usr015@gt.edu,1
873,usr735@gt.edu,4
875,usr356@gt.edu,1
881,usr126@gt.edu,5
883,usr703@gt.edu,1
884,usr305@gt.edu,4
895,usr656@gt.edu,4
896,usr507@gt.edu,4
906,usr187@gt.edu,2
910,usr753@gt.edu,3
912,usr794@gt.edu,4
913,usr983@gt.edu,3
914,usr847@gt.edu,3
919,usr375@gt.edu,3
923,usr379@gt.edu,5
926,usr149@gt.edu,4
933,usr859@gt.edu,5
940,usr858@gt.edu,3
941,usr231@gt.edu,5
949,usr766@gt.edu,4
950,usr904@gt.edu,2
951,usr356@gt.edu,2
953,usr565@gt.edu,2
955,usr315@gt.edu,5
962,usr885@gt.edu,3
965,usr040@gt.edu,5
968,usr055@gt.edu,1
969,usr990@gt.edu,3
970,usr912@gt.edu,2
975,usr231@gt.edu,1
978,usr673@gt.edu,5
980,usr129@gt.edu,4
981,usr011@gt.edu,4
993,usr749@gt.edu,4
994,usr825@gt.edu,2
998,usr071@gt.edu,2
1002,usr391@gt.edu,4
1003,usr798@gt.edu,4
1008,usr736@gt.edu,3
1011,usr749@gt.edu,1
1015,usr943@gt.edu,4
1016,usr471@gt.edu,5
1017,usr969@gt.edu,2
1019,usr100@gt.edu,1
1023,usr722@gt.edu,3
1024,usr874@gt.edu,3
1025,usr435@gt.edu,4
1029,usr510@gt.edu,1
1030,usr572@gt.edu,2
1031,usr552@gt.edu,4
1032,usr210@gt.edu,3
1038,usr076@gt.edu,4
1042,usr011@gt.edu,4
1044,usr344@gt.edu,2
1047,usr781@gt.edu,1
1050,usr669@gt.edu,3
1053,usr219@gt.edu,3
1054,usr967@gt.edu,4
1058,usr292@gt.edu,1
1062,usr094@gt.edu,3
1065,usr064@gt.edu,1
1066,usr242@gt.edu,1
1071,usr690@gt.edu,1
1073,usr665@gt.edu,4
1081,usr298@gt.edu,5
1083,usr694@gt.edu,1
1085,usr120@gt.edu,4
1101,usr871@gt.edu,2
1102,usr708@gt.edu,2
1105,usr183@gt.edu,1
1110,usr631@gt.edu,5
1111,usr462@gt.edu,3
1118,usr272@gt.edu,2
1126,usr171@gt.edu,3
1127,usr381@gt.edu,3
1131,usr062@gt.edu,3
1136,usr274@gt.edu,2
1137,usr624@gt.edu,3
1138,usr736@gt.edu,1
1141,usr143@gt.edu,2
1143,usr289@gt.edu,5
1145,usr077@gt.edu,2
1146,usr222@gt.edu,4
1147,usr738@gt.edu,3
1148,usr124@gt.edu,5
1149,usr178@gt.edu,5
1152,usr603@gt.edu,5
1153,usr861@gt.edu,1
1154,usr298@gt.edu,3
1158,usr448@gt.edu,1
1165,usr491@gt.edu,4
1171,usr361@gt.edu,2
1174,usr345@gt.edu,5
1175,usr749@gt.edu,5
1176,usr022@gt.edu,1
1177,usr945@gt.edu,1
1184,usr092@gt.edu,4
1186,usr932@gt.edu,5
1187,usr356@gt.edu,5
1191,usr900@gt.edu,4
1194,usr058@gt.edu,3
1195,usr433@gt.edu,4
1196,usr624@gt.edu,2
1200,usr602@gt.edu,3
1202,usr315@gt.edu,4
1206,usr652@gt.edu,4
1212,usr447@gt.edu,4
1213,usr601@gt.edu,4
1215,usr665@gt.edu,1
1217,usr142@gt.edu,4
1220,usr182@gt.edu,2
1222,usr369@gt.edu,1
1223,usr814@gt.edu,2
1226,usr444@gt.edu,1
1228,usr271@gt.edu,2
1229,usr456@gt.edu,1
1239,usr894@gt.edu,4
1240,usr479@gt.edu,4
1248,usr633@gt.edu,2
1250,usr954@gt.edu,4
1252,usr574@gt.edu,3
1254,usr096@gt.edu,3
1257,usr129@gt.edu,5
1258,usr429@gt.edu,4
1259,usr627@gt.edu,3
1269,usr130@gt.edu,1
1272,usr142@gt.edu,3
1273,usr301@gt.edu,4
1277,usr679@gt.edu,5
1278,usr672@gt.edu,3
1280,usr747@gt.edu,3
1281,usr101@gt.edu,2
1282,usr387@gt.edu,1
1284,usr417@gt.edu,4
1288,usr465@gt.edu,4
1300,usr448@gt.edu,2
1302,usr276@gt.edu,3
1307,usr317@gt.edu,4
1308,usr322@gt.edu,2
1309,usr556@gt.edu,5
1312,usr775@gt.edu,2
1314,usr142@gt.edu,3
1318,usr207@gt.edu,5
1321,usr633@gt.edu,2
1324,usr976@gt.edu,3
1325,usr669@gt.edu,2
1340,usr532@gt.edu,3
1344,usr201@gt.edu,5
1347,usr815@gt.edu,4
1348,usr432@gt.edu,2
1350,usr237@gt.edu,2
1351,usr259@gt.edu,1
1353,usr338@gt.edu,2
1356,usr178@gt.edu,2
1358,usr354@gt.edu,4
1359,usr325@gt.edu,5
1369,usr148@gt.edu,1
1370,usr726@gt.edu,5
1371,usr518@gt.edu,3
1372,usr579@gt.edu,2
1373,usr219@gt.edu,2
1377,usr973@gt.edu,5
1378,usr418@gt.edu,5
1384,usr833@gt.edu,3
1388,usr736@gt.edu,4
1389,usr070@gt.edu,3
1396,usr738@gt.edu,3
1405,usr377@gt.edu,1
1409,usr691@gt.edu,2
1412,usr801@gt.edu,2
1413,usr900@gt.edu,5
1420,usr614@gt.edu,5
1421,usr358@gt.edu,1
1422,usr232@gt.edu,1
1430,usr461@gt.edu,2
1433,usr257@gt.edu,4
1434,usr619@gt.edu,5
1439,usr265@gt.edu,5
1442,usr552@gt.edu,5
1443,usr399@gt.edu,2
1444,usr462@gt.edu,1
1446,usr517@gt.edu,1
1448,usr976@gt.edu,5
1450,usr837@gt.edu,2
1462,usr371@gt.edu,2
1463,usr308@gt.edu,1
1468,usr331@gt.edu,4
1472,usr756@gt.edu,1
1473,usr994@gt.edu,3
1474,usr985@gt.edu,2
1475,usr781@gt.edu,3
1480,usr285@gt.edu,3
1481,usr301@gt.edu,3
1484,usr905@gt.edu,1
1487,usr937@gt.edu,3
1490,usr478@gt.edu,1
1495,usr107@gt.edu,5
1496,usr404@gt.edu,1
1497,usr469@gt.edu,3
1499,usr758@gt.edu,1
1503,usr567@gt.edu,3
1505,usr122@gt.edu,4
1508,usr295@gt.edu,1
1512,usr315@gt.edu,2
1514,usr206@gt.edu,3
1516,usr579@gt.edu,3
1522,usr329@gt.edu,2
1524,usr627@gt.edu,4
1528,usr046@gt.edu,5
1535,usr409@gt.edu,4
1536,usr866@gt.edu,3
1542,usr017@gt.edu,3
1543,usr264@gt.edu,3
1546,usr764@gt.edu,3
1548,usr442@gt.edu,4
1551,usr182@gt.edu,4
1554,usr963@gt.edu,4
1558,usr658@gt.edu,1
1560,usr483@gt.edu,1
1569,usr612@gt.edu,3
1575,usr927@gt.edu,4
1579,usr553@gt.edu,1
1581,usr178@gt.edu,2
1583,usr523@gt.edu,4
1584,usr912@gt.edu,2
1589,usr458@gt.edu,3
1590,usr105@gt.edu,3
1593,usr127@gt.edu,2
1597,usr262@gt.edu,2
1598,usr199@gt.edu,3
1601,usr034@gt.edu,3
1603,usr218@gt.edu,4
1604,usr432@gt.edu,3
1610,usr364@gt.edu,5
1612,usr981@gt.edu,2
1613,usr153@gt.edu,5
1614,usr735@gt.edu,1
1615,usr068@gt.edu,2
1619,usr184@gt.edu,2
1620,usr267@gt.edu,2
1630,usr845@gt.edu,5
1633,usr856@gt.edu,1
1638,usr075@gt.edu,3
1641,usr068@gt.edu,1
1642,usr308@gt.edu,5
1648,usr979@gt.edu,1
1649,usr733@gt.edu,3
1652,usr179@gt.edu,3
1653,usr292@gt.edu,4
1655,usr261@gt.edu,5
1658,usr267@gt.edu,3
1659,usr259@gt.edu,4
1664,usr563@gt.edu,3
1673,usr219@gt.edu,1
1679,usr418@gt.edu,3
1680,usr374@gt.edu,1
1682,usr765@gt.edu,5
1684,usr092@gt.edu,1
1695,usr103@gt.edu,2
1698,usr861@gt.edu,5
1700,usr347@gt.edu,3
1701,usr385@gt.edu,3
1704,usr112@gt.edu,4
1705,usr124@gt.edu,4
1708,usr760@gt.edu,1
1713,usr599@gt.edu,3
1716,usr627@gt.edu,2
1717,usr321@gt.edu,2
1721,usr479@gt.edu,3
1722,usr627@gt.edu,5
1724,usr606@gt.edu,1
1727,usr733@gt.edu,2
1728,usr450@gt.edu,2
1729,usr251@gt.edu,2
1730,usr558@gt.edu,3
1731,usr886@gt.edu,4
1733,usr855@gt.edu,2
1734,usr428@gt.edu,2
1736,usr243@gt.edu,1
1741,usr133@gt.edu,4
1742,usr808@gt.edu,5
1743,usr946@gt.edu,5
1750,usr803@gt.edu,3
1754,usr130@gt.edu,4
1756,usr153@gt.edu,4
1758,usr001@gt.edu,4
1760,usr552@gt.edu,2
1762,usr006@gt.edu,4
1763,usr865@gt.edu,4
1766,usr181@gt.edu,2
1767,usr681@gt.edu,5
1769,usr074@gt.edu,5
1770,usr847@gt.edu,4
1775,usr474@gt.edu,1
1776,usr380@gt.edu,2
1777,usr020@gt.edu,4
1778,usr346@gt.edu,2
1780,usr638@gt.edu,1
1782,usr277@gt.edu,1
1783,usr519@gt.edu,1
1793,usr344@gt.edu,1
1796,usr180@gt.edu,5
1797,usr951@gt.edu,4
1800,usr531@gt.edu,5
1801,usr525@gt.edu,4
1803,usr983@gt.edu,1
1805,usr194@gt.edu,1
1810,usr935@gt.edu,2
1811,usr939@gt.edu,4
1821,usr391@gt.edu,2
1824,usr391@gt.edu,2
1826,usr061@gt.edu,3
1828,usr239@gt.edu,4
1832,usr851@gt.edu,3
1833,usr746@gt.edu,3
1835,usr051@gt.edu,2
1837,usr694@gt.edu,3
1840,usr691@gt.edu,5
1844,usr710@gt.edu,2
1846,usr823@gt.edu,5
1849,usr376@gt.edu,3
1851,usr831@gt.edu,3
1854,usr933@gt.edu,3
1856,usr360@gt.edu,4
1858,usr738@gt.edu,4
1860,usr741@gt.edu,2
1866,usr383@gt.edu,2
1871,usr986@gt.edu,3
1872,usr028@gt.edu,1
1874,usr574@gt.edu,1
1878,usr498@gt.edu,1
1879,usr169@gt.edu,2
1880,usr344@gt.edu,3
1881,usr584@gt.edu,5
1883,usr403@gt.edu,5
1884,usr006@gt.edu,1
1885,usr870@gt.edu,1
1888,usr651@gt.edu,2
1889,usr553@gt.edu,3
1890,usr979@gt.edu,2
1891,usr278@gt.edu,4
1892,usr446@gt.edu,3
1894,usr079@gt.edu,1
1896,usr159@gt.edu,3
1900,usr909@gt.edu,1
1904,usr881@gt.edu,5
1905,usr404@gt.edu,4
1907,usr890@gt.edu,4
1915,usr992@gt.edu,3
1917,usr871@gt.edu,2
1921,usr241@gt.edu,1
1923,usr016@gt.edu,1
1924,usr542@gt.edu,5
1927,usr077@gt.edu,4
1928,usr633@gt.edu,5
1929,usr837@gt.edu,3
1941,usr270@gt.edu,4
1942,usr582@gt.edu,2
1947,usr926@gt.edu,3
1949,usr987@gt.edu,4
1952,usr252@gt.edu,2
1953,usr861@gt.edu,4
1956,usr260@gt.edu,1
1957,usr203@gt.edu,3
1961,usr784@gt.edu,5
1963,usr865@gt.edu,4
1966,usr915@gt.edu,5
1967,usr974@gt.edu,2
1969,usr377@gt.edu,5
1972,usr921@gt.edu,2
1977,usr095@gt.edu,1
1990,usr799@gt.edu,5
1991,usr868@gt.edu,3
1992,usr563@gt.edu,1
1996,usr369@gt.edu,5
1998,usr534@gt.edu,5
1999,usr281@gt.edu,1
2004,usr150@gt.edu,1
2007,usr441@gt.edu,1
2016,usr603@gt.edu,3
2019,usr855@gt.edu,1
2022,usr004@gt.edu,2
2024,usr861@gt.edu,2
2026,usr391@gt.edu,4
2032,usr989@gt.edu,1
2035,usr289@gt.edu,4
2036,usr201@gt.edu,1
2038,usr754@gt.edu,5
2040,usr677@gt.edu,2
2041,usr433@gt.edu,4
2042,usr184@gt.edu,2
2045,usr566@gt.edu,3
2046,usr605@gt.edu,2
2051,usr082@gt.edu,4
2052,usr928@gt.edu,5
2058,usr694@gt.edu,5
2059,usr164@gt.edu,1
2069,usr106@gt.edu,4
2070,usr748@gt.edu,2
2071,usr606@gt.edu,2
2072,usr345@gt.edu,5
2073,usr380@gt.edu,4
2074,usr120@gt.edu,3
2078,usr089@gt.edu,3
2082,usr552@gt.edu,4
2086,usr123@gt.edu,1
2087,usr068@gt.edu,4
2088,usr924@gt.edu,5
2090,usr794@gt.edu,4
2091,usr490@gt.edu,1
2093,usr079@gt.edu,4
2094,usr061@gt.edu,3
2096,usr436@gt.edu,5
2097,usr651@gt.edu,3
2098,usr901@gt.edu,5
2099,usr850@gt.edu,2
2100,usr935@gt.edu,4
2102,usr211@gt.edu,4
2103,usr287@gt.edu,5
2104,usr118@gt.edu,3
2106,usr997@gt.edu,4
2107,usr663@gt.edu,5
2108,usr535@gt.edu,5
2110,usr774@gt.edu,5
2111,usr720@gt.edu,5
2113,usr993@gt.edu,2
2115,usr079@gt.edu,1
2116,usr878@gt.edu,1
2117,usr767@gt.edu,5
2121,usr217@gt.edu,5
2122,usr916@gt.edu,1
2123,usr817@gt.edu,3
2125,usr465@gt.edu,4
2127,usr478@gt.edu,5
2128,usr972@gt.edu,4
2129,usr957@gt.edu,3
2131,usr888@gt.edu,4
2133,usr452@gt.edu,4
2135,usr727@gt.edu,4
2141,usr878@gt.edu,4
2147,usr105@gt.edu,4
2150,usr333@gt.edu,5
2152,usr604@gt.edu,4
2155,usr577@gt.edu,2
2156,usr597@gt.edu,2
2157,usr748@gt.edu,2
2158,usr010@gt.edu,4
2159,usr342@gt.edu,5
2162,usr277@gt.edu,1
2163,usr022@gt.edu,3
2166,usr076@gt.edu,3
2167,usr243@gt.edu,5
2169,usr374@gt.edu,4
2171,usr751@gt.edu,1
2172,usr954@gt.edu,2
2175,usr713@gt.edu,1
2182,usr182@gt.edu,5
2183,usr766@gt.edu,2
2185,usr557@gt.edu,5
2186,usr764@gt.edu,4
2190,usr710@gt.edu,2
2193,usr068@gt.edu,1
2195,usr979@gt.edu,1
2201,usr186@gt.edu,4
2202,usr522@gt.edu,5
2209,usr174@gt.edu,5
2210,usr027@gt.edu,3
2212,usr660@gt.edu,2
2214,usr660@gt.edu,2
2216,usr264@gt.edu,4
2220,usr323@gt.edu,2
2221,usr549@gt.edu,4
2225,usr851@gt.edu,4
2230,usr895@gt.edu,5
2234,usr778@gt.edu,4
2235,usr608@gt.edu,2
2236,usr341@gt.edu,4
2238,usr823@gt.edu,4
2241,usr118@gt.edu,1
2244,usr729@gt.edu,2
2247,usr703@gt.edu,2
2249,usr843@gt.edu,3
2250,usr158@gt.edu,2
2251,usr030@gt.edu,1
2258,usr123@gt.edu,4
2260,usr171@gt.edu,1
2263,usr617@gt.edu,5
2264,usr645@gt.edu,4
2271,usr111@gt.edu,5
2280,usr953@gt.edu,1
2281,usr997@gt.edu,2
2282,usr514@gt.edu,1
2284,usr167@gt.edu,5
2288,usr711@gt.edu,4
2294,usr367@gt.edu,5
2297,usr501@gt.edu,3
2309,usr127@gt.edu,1
2310,usr532@gt.edu,2
2313,usr658@gt.edu,5
2317,usr879@gt.edu,1
2318,usr302@gt.edu,5
2319,usr489@gt.edu,2
2320,usr735@gt.edu,5
2325,usr553@gt.edu,2
2328,usr724@gt.edu,4
2329,usr265@gt.edu,4
2332,usr950@gt.edu,5
2334,usr828@gt.edu,5
2335,usr590@gt.edu,5
2336,usr613@gt.edu,2
2338,usr982@gt.edu,5
2346,usr365@gt.edu,2
2347,usr448@gt.edu,3
2349,usr083@gt.edu,4
2350,usr585@gt.edu,4
2352,usr244@gt.edu,3
2356,usr347@gt.edu,4
2358,usr283@gt.edu,3
2361,usr348@gt.edu,5
2368,usr430@gt.edu,1
2369,usr778@gt.edu,2
2372,usr495@gt.edu,4
2378,usr994@gt.edu,1
2387,usr619@gt.edu,4
2397,usr078@gt.edu,1
2398,usr376@gt.edu,4
2401,usr911@gt.edu,1
2403,usr808@gt.edu,5
2409,usr662@gt.edu,5
2416,usr052@gt.edu,2
2418,usr959@gt.edu,1
2419,usr640@gt.edu,4
2423,usr338@gt.edu,2
2426,usr029@gt.edu,2
2433,usr427@gt.edu,3
2436,usr322@gt.edu,4
2437,usr185@gt.edu,1
2438,usr090@gt.edu,1
2439,usr657@gt.edu,5
2444,usr733@gt.edu,5
2445,usr071@gt.edu,2
2446,usr055@gt.edu,5
2449,usr001@gt.edu,4
2451,usr559@gt.edu,5
2453,usr179@gt.edu,1
2458,usr573@gt.edu,3
2462,usr042@gt.edu,1
2466,usr095@gt.edu,4
2472,usr975@gt.edu,3
2473,usr864@gt.edu,1
2476,usr698@gt.edu,2
2477,usr359@gt.edu,4
2479,usr576@gt.edu,2
2483,usr886@gt.edu,3
2484,usr279@gt.edu,2
2486,usr514@gt.edu,5
2489,usr883@gt.edu,4
2491,usr187@gt.edu,2
2492,usr471@gt.edu,1
2497,usr694@gt.edu,3
2499,usr605@gt.edu,5
2501,usr088@gt.edu,4
2503,usr770@gt.edu,4
2506,usr928@gt.edu,5
2509,usr020@gt.edu,1
2511,usr660@gt.edu,5
2512,usr205@gt.edu,5
2513,usr051@gt.edu,3
2514,usr884@gt.edu,4
2515,usr155@gt.edu,2
2516,usr802@gt.edu,5
2517,usr945@gt.edu,1
2525,usr527@gt.edu,3
2526,usr729@gt.edu,2
2527,usr437@gt.edu,5
2528,usr867@gt.edu,4
2529,usr913@gt.edu,1
2530,usr660@gt.edu,5
2532,usr482@gt.edu,3
2535,usr636@gt.edu,2
2538,usr424@gt.edu,5
2539,usr917@gt.edu,2
2545,usr985@gt.edu,1
2566,usr533@gt.edu,1
2568,usr753@gt.edu,3
2570,usr548@gt.edu,2
2573,usr176@gt.edu,5
2574,usr259@gt.edu,1
2576,usr200@gt.edu,3
2583,usr829@gt.edu,1
2586,usr351@gt.edu,3
2591,usr741@gt.edu,3
2595,usr850@gt.edu,2
2596,usr503@gt.edu,4
2598,usr907@gt.edu,3
2599,usr804@gt.edu,5
2603,usr253@gt.edu,4
2604,usr556@gt.edu,3
2607,usr550@gt.edu,5
2608,usr028@gt.edu,5
2611,usr534@gt.edu,3
2621,usr216@gt.edu,2
2624,usr315@gt.edu,2
2626,usr541@gt.edu,4
2628,usr918@gt.edu,5
2629,usr878@gt.edu,2
2637,usr871@gt.edu,4
2639,usr420@gt.edu,4
2641,usr808@gt.edu,5
2642,usr726@gt.edu,4
2644,usr817@gt.edu,1
2645,usr133@gt.edu,4
2646,usr715@gt.edu,2
2651,usr816@gt.edu,5
2652,usr871@gt.edu,4
2656,usr775@gt.edu,3
2657,usr345@gt.edu,4
2661,usr869@gt.edu,4
2664,usr002@gt.edu,4
2667,usr683@gt.edu,5
2671,usr962@gt.edu,2
2672,usr184@gt.edu,5
2675,usr156@gt.edu,1
2676,usr084@gt.edu,5
2681,usr003@gt.edu,2
2684,usr871@gt.edu,2
2687,usr742@gt.edu,2
2688,usr799@gt.edu,4
2692,usr488@gt.edu,2
2694,usr025@gt.edu,2
2696,usr569@gt.edu,1
2700,usr561@gt.edu,4
2702,usr583@gt.edu,2
2710,usr889@gt.edu,2
2712,usr841@gt.edu,1
2713,usr351@gt.edu,4
2714,usr302@gt.edu,1
2715,usr203@gt.edu,2
2717,usr626@gt.edu,4
2720,usr942@gt.edu,4
2728,usr101@gt.edu,1
2732,usr155@gt.edu,1
